DNA Collections Form,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Study:,5953STDY,,,,,,,,,,,,,,,,,,,,,,
Supplier:,Sanger Institute,,,,,,,,,,,,,,,,,,,,,,
No. Plates Sent:,20,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
SANGER PLATE ID,WELL,SANGER SAMPLE ID,SUPPLIER SAMPLE NAME,REFERENCE GENOME,COHORT,VOLUME (ul),CONC. (ng/ul),GENDER,DNA SOURCE,GC CONTENT,PUBLIC NAME,TAXON ID,COMMON NAME,SAMPLE DESCRIPTION,STRAIN,SAMPLE TYPE,PHENOTYPE (required for EGA),Developmental stage,Cell Type,Immunoprecipitate,Organism part,SAMPLE ACCESSION NUMBER (optional),DONOR ID (required for cancer samples)
DN600639F,H8,5953STDY8613018,,,,,,,,,,,,,,,,,,,,,5953STDY8613018
DN600639F,A9,5953STDY8613019,,,,,,,,,,,,,,,,,,,,,5953STDY8613019
DN600639F,B9,5953STDY8613020,,,,,,,,,,,,,,,,,,,,,5953STDY8613020
DN600639F,C9,5953STDY8613021,,,,,,,,,,,,,,,,,,,,,5953STDY8613021
DN600639F,D9,5953STDY8613022,,,,,,,,,,,,,,,,,,,,,5953STDY8613022
DN600639F,E9,5953STDY8613023,,,,,,,,,,,,,,,,,,,,,5953STDY8613023
DN600639F,F9,5953STDY8613024,,,,,,,,,,,,,,,,,,,,,5953STDY8613024
DN600639F,G9,5953STDY8613025,,,,,,,,,,,,,,,,,,,,,5953STDY8613025
DN600639F,H9,5953STDY8613026,,,,,,,,,,,,,,,,,,,,,5953STDY8613026
DN600639F,A10,5953STDY8613027,,,,,,,,,,,,,,,,,,,,,5953STDY8613027
DN600639F,B10,5953STDY8613028,,,,,,,,,,,,,,,,,,,,,5953STDY8613028
DN600639F,C10,5953STDY8613029,,,,,,,,,,,,,,,,,,,,,5953STDY8613029
DN600639F,D10,5953STDY8613030,,,,,,,,,,,,,,,,,,,,,5953STDY8613030
DN600639F,E10,5953STDY8613031,,,,,,,,,,,,,,,,,,,,,5953STDY8613031
DN600639F,F10,5953STDY8613032,,,,,,,,,,,,,,,,,,,,,5953STDY8613032
DN600639F,G10,5953STDY8613033,,,,,,,,,,,,,,,,,,,,,5953STDY8613033
DN600639F,H10,5953STDY8613034,,,,,,,,,,,,,,,,,,,,,5953STDY8613034
DN600639F,A11,5953STDY8613035,,,,,,,,,,,,,,,,,,,,,5953STDY8613035
DN600639F,B11,5953STDY8613036,,,,,,,,,,,,,,,,,,,,,5953STDY8613036
DN600639F,C11,5953STDY8613037,,,,,,,,,,,,,,,,,,,,,5953STDY8613037
DN600639F,D11,5953STDY8613038,,,,,,,,,,,,,,,,,,,,,5953STDY8613038
DN600639F,E11,5953STDY8613039,,,,,,,,,,,,,,,,,,,,,5953STDY8613039
DN600639F,F11,5953STDY8613040,,,,,,,,,,,,,,,,,,,,,5953STDY8613040
DN600639F,G11,5953STDY8613041,,,,,,,,,,,,,,,,,,,,,5953STDY8613041
DN600639F,H11,5953STDY8613042,,,,,,,,,,,,,,,,,,,,,5953STDY8613042
DN600639F,A12,5953STDY8613043,,,,,,,,,,,,,,,,,,,,,5953STDY8613043
