DNA Collections Form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Study:,5953STDY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supplier:,Sanger Institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No. Plates Sent:,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANGER PLATE ID,WELL,SANGER SAMPLE ID,SUPPLIER SAMPLE NAME,REFERENCE GENOME,COHORT,VOLUME (ul),CONC. (ng/ul),GENDER,COUNTRY OF ORIGIN,GEOGRAPHICAL REGION,ETHNICITY,DNA SOURCE,DATE OF SAMPLE COLLECTION (MM/YY or YYYY only),DATE OF DNA EXTRACTION (MM/YY or YYYY only),DNA EXTRACTION METHOD,SAMPLE PURIFIED?,PURIFICATION METHOD,CONCENTRATION DETERMINED BY,DNA STORAGE CONDITIONS,MOTHER (optional),FATHER (optional),SIBLING (optional),GC CONTENT,PUBLIC NAME,TAXON ID,COMMON NAME,SAMPLE DESCRIPTION,STRAIN,SAMPLE TYPE,SAMPLE ACCESSION NUMBER (optional),DONOR ID (required for cancer samples),PHENOTYPE (required for EGA)
DN591850D,E6,5953STDY8280295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280295,
DN591850D,F6,5953STDY8280296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280296,
DN591850D,G6,5953STDY8280297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280297,
DN591850D,H6,5953STDY8280298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280298,
DN591850D,I6,5953STDY8280299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280299,
DN591850D,J6,5953STDY8280300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280300,
DN591850D,K6,5953STDY8280301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280301,
DN591850D,L6,5953STDY8280302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280302,
DN591850D,M6,5953STDY8280303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280303,
DN591850D,N6,5953STDY8280304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280304,
DN591850D,O6,5953STDY8280305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280305,
DN591850D,P6,5953STDY8280306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280306,
DN591850D,A7,5953STDY8280307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280307,
DN591850D,B7,5953STDY8280308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280308,
DN591850D,C7,5953STDY8280309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280309,
DN591850D,D7,5953STDY8280310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280310,
DN591850D,E7,5953STDY8280311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280311,
DN591850D,F7,5953STDY8280312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280312,
DN591850D,G7,5953STDY8280313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280313,
DN591850D,H7,5953STDY8280314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280314,
DN591850D,I7,5953STDY8280315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280315,
DN591850D,J7,5953STDY8280316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280316,
DN591850D,K7,5953STDY8280317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280317,
DN591850D,L7,5953STDY8280318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280318,
DN591850D,M7,5953STDY8280319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280319,
DN591850D,N7,5953STDY8280320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280320,
DN591850D,O7,5953STDY8280321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280321,
DN591850D,P7,5953STDY8280322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280322,
DN591850D,A8,5953STDY8280323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280323,
DN591850D,B8,5953STDY8280324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280324,
DN591850D,C8,5953STDY8280325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280325,
DN591850D,D8,5953STDY8280326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280326,
DN591850D,E8,5953STDY8280327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280327,
DN591850D,F8,5953STDY8280328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280328,
DN591850D,G8,5953STDY8280329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280329,
DN591850D,H8,5953STDY8280330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280330,
DN591850D,I8,5953STDY8280331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280331,
DN591850D,J8,5953STDY8280332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280332,
DN591850D,K8,5953STDY8280333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280333,
DN591850D,L8,5953STDY8280334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280334,
DN591850D,M8,5953STDY8280335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280335,
DN591850D,N8,5953STDY8280336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280336,
DN591850D,O8,5953STDY8280337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280337,
DN591850D,P8,5953STDY8280338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280338,
DN591850D,A9,5953STDY8280339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280339,
DN591850D,B9,5953STDY8280340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280340,
DN591850D,C9,5953STDY8280341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280341,
DN591850D,D9,5953STDY8280342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280342,
DN591850D,E9,5953STDY8280343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280343,
DN591850D,F9,5953STDY8280344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280344,
DN591850D,G9,5953STDY8280345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280345,
DN591850D,H9,5953STDY8280346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280346,
DN591850D,I9,5953STDY8280347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280347,
DN591850D,J9,5953STDY8280348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280348,
DN591850D,K9,5953STDY8280349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280349,
DN591850D,L9,5953STDY8280350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280350,
DN591850D,M9,5953STDY8280351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280351,
DN591850D,N9,5953STDY8280352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280352,
DN591850D,O9,5953STDY8280353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280353,
DN591850D,P9,5953STDY8280354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280354,
DN591850D,A10,5953STDY8280355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280355,
DN591850D,B10,5953STDY8280356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280356,
DN591850D,C10,5953STDY8280357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280357,
DN591850D,D10,5953STDY8280358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280358,
